Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	1KM	25-JUN-05 12:31:32PM	User Waypoint	N44.97836 W93.13802	922 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	1MILE	25-JUN-05 12:43:56PM	User Waypoint	N44.97580 W93.13936	910 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2KM	25-JUN-05 12:48:53PM	User Waypoint	N44.97807 W93.14290	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2MILE	25-JUN-05 12:26:20PM	User Waypoint	N44.98167 W93.13930	923 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3KM	25-JUN-05 12:22:55PM	User Waypoint	N44.98343 W93.14021	928 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3MILE	25-JUN-05 12:51:50PM	User Waypoint	N44.97991 W93.14370	916 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	4KM	25-JUN-05 12:39:44PM	User Waypoint	N44.97619 W93.13671	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	FINISH	25-JUN-05 12:54:23PM	User Waypoint	N44.98129 W93.14360	932 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	START	25-JUN-05 12:15:49PM	User Waypoint	N44.98308 W93.14320	941 ft				Symbol & Name	Unknown	Flag, Blue							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	COMO LAKE 5km		0:00:00	1.9 mi	0 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N44.98168 W93.13929		906 ft		0 ft			170° true
Trackpoint	N44.98168 W93.13929		921 ft		0 ft			180° true
Trackpoint	N44.98168 W93.13929		925 ft		0 ft			145° true
Trackpoint	N44.98168 W93.13929		904 ft		0 ft			125° true
Trackpoint	N44.98168 W93.13929		925 ft		0 ft			133° true
Trackpoint	N44.98168 W93.13929		912 ft		0 ft			145° true
Trackpoint	N44.98168 W93.13929		931 ft		0 ft			155° true
Trackpoint	N44.98168 W93.13929		928 ft		0 ft			167° true
Trackpoint	N44.98168 W93.13929		923 ft		0 ft			188° true
Trackpoint	N44.98159 W93.13921		918 ft		38 ft			150° true
Trackpoint	N44.98151 W93.13915		904 ft		32 ft			148° true
Trackpoint	N44.98150 W93.13914		932 ft		4 ft			153° true
Trackpoint	N44.98149 W93.13913		929 ft		4 ft			152° true
Trackpoint	N44.98147 W93.13912		910 ft		9 ft			148° true
Trackpoint	N44.98140 W93.13907		925 ft		29 ft			154° true
Trackpoint	N44.98119 W93.13893		909 ft		86 ft			156° true
Trackpoint	N44.98114 W93.13890		915 ft		18 ft			154° true
Trackpoint	N44.98110 W93.13887		931 ft		18 ft			156° true
Trackpoint	N44.98109 W93.13886		921 ft		4 ft			156° true
Trackpoint	N44.98108 W93.13886		906 ft		4 ft			158° true
Trackpoint	N44.98107 W93.13885		929 ft		4 ft			158° true
Trackpoint	N44.98105 W93.13884		912 ft		8 ft			157° true
Trackpoint	N44.98104 W93.13883		912 ft		4 ft			158° true
Trackpoint	N44.98103 W93.13883		928 ft		4 ft			159° true
Trackpoint	N44.98102 W93.13882		929 ft		4 ft			162° true
Trackpoint	N44.98101 W93.13882		918 ft		4 ft			163° true
